











"ID","Unit Title","Unit Date","Start Year","End Year","Unit ID","Level","Originator","Container 1","Container 2","Container 3","Phys. Desc. 1","Phys. Desc. 2","Phys. Desc. 3","Phys. Loc","Access Restrict.","URN","Collection Title","Originator","Collection Date","Collection ID","Parent 1","Parent 2","Parent 3","Parent 4","Parent 5","Parent 6"
"hou00108c00001","I. Letters from Joseph Dennie","","","","","series","","","","","","","","","","","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","","","","","","",
"hou00108c00002","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","1783-1800.","1783","1800","(1-31)","item","","","","","9 folders.","","","","","","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","I. Letters from Joseph Dennie","","","","","",
"hou00108c00003","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Lexington, 24 June 1783. 1s.(3p.)","1783.","1783","1783","(1)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327076","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00004","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Boston, 24 March 1785. 1s.(4p.)","1785.","1785","1785","(2)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327174","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00005","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Boston, 16 July 1785. 1s.(2p.)","1785.","1785","1785","(3)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327185","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00006","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Cambridge, October 1789. 1s.(2p.)","1789.","1789","1789","(4)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327196","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00007","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Westmoreland, [December 1790]. 1s.(4p.)","1790","1790","1790","(5)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327207","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00008","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 29 December 1790. 1s.(4p.)","1790.","1790","1790","(6)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327218","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00009","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 10 January 1791. 1s.(2p.)","1791.","1791","1791","(7)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327229","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00010","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 23 January 1791. 1s.(4p.)","1791.","1791","1791","(8)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327240","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00011","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 6 February 1791. 1s.(4p.)","1791.","1791","1791","(9)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327251","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00012","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 6 February 1791. 1s.(4p.)","1791.","1791","1791","(10)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327077","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00013","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 10 April 1791. 1s.(4p.)","1791.","1791","1791","(11)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327088","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00014","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 31 May 1791. 1s.(4p.)","1791.","1791","1791","(12)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327099","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00015","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 10 October 1791. 1s.(4p.)","1791.","1791","1791","(13)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327110","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00016","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 19 October 1791. 1s.(4p.)","1791.","1791","1791","(14)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327121","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
"hou00108c00017","Dennie, Joseph, 1768-1812. Autograph manuscript letter (signed) to Joseph Dennie, Sr.; Charlestown, 6 November 1791. 1s.(4p.)","1791.","1791","1791","(15)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:FHCL.HOUGH:11327132","Joseph Dennie papers,","Dennie, Joseph, 1768-1812.","1783-1815.","MS Am 715","Dennie, Joseph, 1768-1812. 31 letters to Joseph Dennie, Sr., 1783-1800.","I. Letters from Joseph Dennie","","","","",
