











"ID","Unit Title","Unit Date","Start Year","End Year","Unit ID","Level","Originator","Container 1","Container 2","Container 3","Phys. Desc. 1","Phys. Desc. 2","Phys. Desc. 3","Phys. Loc","Access Restrict.","URN","Collection Title","Originator","Collection Date","Collection ID","Parent 1","Parent 2","Parent 3","Parent 4","Parent 5","Parent 6"
"hua07010c00083","Sermon notes, 1728-1729","1728-1729","1728","1729","I.","series","","","","",".04 cubic feet (1 volume and 1 microfilm reel)","","","","","","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","","","","","","",
"hua07010c00001","Abstracts of sermons preached at Harvard College, 1728-1729","1728-1729","1728","1729","","","","HUM 9 Box 1","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10346975","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Sermon notes, 1728-1729","","","","","",
"hua07010c00002","USE COPY of Abstracts of sermons preached at Harvard College, 1728-1729","1728-1729","1728","1729","","","","HUM 9 Box 15","","","","","","","","","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Sermon notes, 1728-1729","","","","","",
"hua07010c00084","Commonplace book, October 29, 1728-January 15, 1735","October 29, 1728-January 15, 1735","1728","1735","II.","series","","HUM 9 Box 2","","",".03 cubic feet (1 volume)","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10355470","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","","","","","","",
"hua07010c00085","Observations of Sun Spots, 1739-1743","1739-1743","1739","1743","III.","series","","HUM 9 Box 3","","",".01 cubic feet (1 volume)","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10355471","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","","","","","","",
"hua07010c00086","Diaries of John and Hannah Winthrop, 1739-1789","1739-1789","1739","1789","IV.","series","","","","",".62 cubic feet (62 volumes)","","","","","","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","","","","","","",
"hua07010c00087","Almanacs of John Winthrop,","1739-1779","1739","1779","A.","subseries","","","","",".3 cubic feet (30 volumes)","","","","","","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Diaries of John and Hannah Winthrop, 1739-1789","","","","","",
"hua07010c00003","Annotated almanac, 1739","1739","1739","1739","","item","","HUM 9 Box 4, Volume 1","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10346976","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Almanacs of John Winthrop,","Diaries of John and Hannah Winthrop, 1739-1789","","","","",
"hua07010c00004","Annotated almanac, 1741","1741","1741","1741","","item","","HUM 9 Box 4, Volume 2","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10355685","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Almanacs of John Winthrop,","Diaries of John and Hannah Winthrop, 1739-1789","","","","",
"hua07010c00005","Annotated almanac, 1742","1742","1742","1742","","item","","HUM 9 Box 4, Volume 3","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10355686","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Almanacs of John Winthrop,","Diaries of John and Hannah Winthrop, 1739-1789","","","","",
"hua07010c00006","Annotated almanac, 1743","1743","1743","1743","","item","","HUM 9 Box 4, Volume 4","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10346982","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Almanacs of John Winthrop,","Diaries of John and Hannah Winthrop, 1739-1789","","","","",
"hua07010c00007","Annotated almanac, 1744","1744","1744","1744","","item","","HUM 9 Box 4, Volume 5","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10346983","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Almanacs of John Winthrop,","Diaries of John and Hannah Winthrop, 1739-1789","","","","",
"hua07010c00008","Annotated almanac, 1745","1745","1745","1745","","item","","HUM 9 Box 4, Volume 6","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10355687","Papers of John and Hannah Winthrop, 1728-1789","Winthrop, John, 1714-1779","1728-1789","HUM 9","Almanacs of John Winthrop,","Diaries of John and Hannah Winthrop, 1739-1789","","","","",
